short_name,region_code,station_id,long_name,label,lat,lon,station_type
Modena,0,S05032,MODENA,Modena,44.654461,10.930373,3
Monfalcone,0,S03310,MONFALCONE,,45.807683,13.542929,2
Domodossola,0,S01003,DOMODOSSOLA,,46.115429,8.296684,2
Ferrara,0,S05712,FERRARA,Ferrara,44.843047,11.603594,3
Firenze S.M.N.,0,S06421,FIRENZE S.M.N.,Firenze,43.776893,11.247373,1
Foggia,0,S11100,FOGGIA,Foggia,41.466,15.555816,1
Foligno,0,S07217,FOLIGNO,,42.954261,12.711096,3
Forli',0,S05059,FORLI`,Forlì,44.22413,12.054871,3
Frosinone,0,S08662,FROSINONE,Frosinone,41.625333,13.328728,3
F00001,0,F00001,F00001,,37.741399,14.361877,4
N.D.,0,S00000,N.D.,,44.398467,10.942383,3
Y,0,S99999,Y,,44.040219,10.854492,3
Vercelli,0,S00245,VERCELLI,Vercelli,45.329909,8.416028,3
Verona P.Nuova,0,S02430,VERONA PORTA NUOVA,Verona,45.428603,10.982377,1
Vicenza,0,S02446,VICENZA,Vicenza,45.541102,11.540762,3
Pordenone,0,S02701,PORDENONE,Pordenone,45.956281,12.654126,3
Sulmona,0,S08539,SULMONA,,42.060836,13.907156,3
Terontola,0,S06922,TERONTOLA CORTONA,,43.210263,12.007906,3
Torino P.Nuova,0,S00219,TORINO P.NUOVA,Torino,45.060969,7.67747,1
Tarvisio Boscov.,0,S03015,TARVISIO BOSCOVERDE,Tarvisio,46.505956,13.608012,3
Asti,0,S00462,ASTI,Asti,44.89479,8.208112,3
Foggia,0,S11100,FOGGIA,Foggia,41.466,15.555816,1
Sibari,0,S11811,SIBARI,,39.749863,16.456922,3
Catanzaro,0,S11956,CATANZARO,Catanzaro,38.896222,16.599081,1
Livorno C.le,0,S06725,LIVORNO CENTRALE,Livorno,43.55406,10.336593,3
Potenza Centrale,0,S11420,POTENZA CENTRALE,Potenza,40.629469,15.806808,3
Isernia,0,S09053,ISERNIA,Isernia,41.596946,14.235421,4
Trento,0,S02038,TRENTO,Trento,46.072414,11.118941,1
Campobasso,0,S09459,CAMPOBASSO,Campobasso,41.558137,14.66393,3
Catanzaro Lido,0,S11833,CATANZARO LIDO,,38.821788,16.612975,3
Melito P.S.,0,S11863,MELITO DI PORTO SALVO,,37.916732,15.780816,3
Messina Cent.,0,S12301,MESSINA CENTRALE,Messina,38.184975,15.561278,1
Catania Centrale,0,S12332,CATANIA CENTRALE,Catania,37.506211,15.099417,1
Sassari,0,S12807,SASSARI,Sassari,40.729506,8.554157,1
Ozieri Chilivani,0,S12862,OZIERI CHILIVANI,,40.609496,8.933744,3
Bari C.le,0,S11119,BARI CENTRALE,Bari,41.11774,16.869601,4
Chiusi C.T.,0,S06925,CHIUSI C.T.,Chiusi,43.002466,11.957893,3
Roma Termini,0,S08409,ROMA TERMINI,Roma,41.900636,12.502026,1
F00011,0,F00011,F00011,,44.355278,9.42627,4
F00012,0,F00012,F00012,,43.963168,10.332642,4
F00043,0,F00043,F00043,,38.817241,16.285858,4
F00044,0,F00044,F00044,,43.942406,12.740021,4
F00045,0,F00045,F00045,,43.683764,13.135529,4
F00013,0,F00013,F00013,,41.420075,14.018555,4
F00014,0,F00014,F00014,,41.331451,13.815308,4
F00015,0,F00015,F00015,,41.257162,13.713684,4
F00042,0,F00042,F00042,,39.990799,16.479492,4
Reggio Emilia AV,0,S05254,REGGIO EMILIA AV,,44.779886,10.744171,3
N.D.,0,S00000,N.D.,,44.398467,10.942383,3
Y,0,S99999,Y,,44.040219,10.854492,3
F00053,0,F00053,F00053,,45.201393,8.590393,4
Chiasso,0,S01301,CHIASSO,,45.830736,9.03421,4
Siracusa,0,S12349,SIRACUSA,Siracusa,37.068906,15.280896,1
Firenze S.M.N.,0,S06421,FIRENZE S.M.N.,Firenze,43.776893,11.247373,1
F00001,0,F00001,F00001,,37.741399,14.361877,4
F00002,0,F00002,F00002,,44.484749,8.624268,4
F00003,0,F00003,F00003,,42.910172,13.661499,4
F00004,0,F00004,F00004,,40.583714,17.028809,4
F00005,0,F00005,F00005,,37.868349,15.15976,4
F00006,0,F00006,F00006,,37.312291,15.02243,4
Imperia,0,S04523,IMPERIA,Imperia,43.88051,8.019182,3
MALP AT1,0,S01139,MALPENSA AEROPORTO T1,,45.627904,8.711085,3
Cagliari,0,S12891,CAGLIARI,Cagliari,39.216078,9.107984,1
Campobasso,0,S09459,CAMPOBASSO,Campobasso,41.558137,14.66393,3
Pordenone,0,S02701,PORDENONE,Pordenone,45.956281,12.654126,3
Potenza Centrale,0,S11420,POTENZA CENTRALE,Potenza,40.629469,15.806808,3
Reggio C. C.le,0,S11781,REGGIO CALABRIA CENTRALE,Reggio Calabria,38.103884,15.635844,1
